# Table 1 from Gyldenkerne et al. (1975)
# Measurements of HS Hya in instrumental system
# HS Hya   A&A 42, pp. 303-309 (1975)
# npts      JD0        Period
# 533 2441374.5934   1.568035
#   HJD-2440000   phase      d(y)   d(b-y) d(m1)  d(c1)  d(b)   d(v)   d(u)
 n   dd   dm     phase      d(y)   d(b-y) d(m1)  d(c1)  d(b)   d(v)   d(u)
 77 1377 0.64632  0.94570    1.956  0.251  0.038 -0.715  2.208  2.497  2.072
 77 1377 0.65694  0.95247    1.966  0.254  0.037 -0.717  2.220  2.511  2.085
 77 1377 0.66085  0.95496    1.984  0.263  0.019 -0.731  2.247  2.528  2.079
 77 1377 0.66461  0.95736    1.995  0.265  0.013 -0.718  2.260  2.539  2.099
 77 1377 0.66959  0.96054    2.018  0.259  0.026 -0.730  2.276  2.561  2.116
 77 1377 0.67380  0.96322    2.038  0.263  0.021 -0.720  2.301  2.586  2.151
 77 1377 0.67968  0.96697    2.075  0.266  0.017 -0.723  2.341  2.623  2.183
 77 1377 0.68402  0.96974    2.099  0.273  0.015 -0.735  2.372  2.661  2.214
 77 1377 0.68750  0.97196    2.141  0.261  0.024 -0.726  2.402  2.686  2.244
 77 1377 0.69149  0.97450    2.166  0.268  0.021 -0.737  2.433  2.722  2.273
 77 1377 0.69579  0.97725    2.202  0.268  0.028 -0.733  2.470  2.766  2.329
 77 1377 0.70047  0.98023    2.256  0.270  0.023 -0.748  2.526  2.820  2.365
 77 1377 0.70553  0.98346    2.303  0.272  0.014 -0.728  2.574  2.860  2.419
 77 1377 0.71027  0.98648    2.344  0.281  0.006 -0.726  2.625  2.911  2.471
 77 1377 0.71530  0.98969    2.390  0.250  0.068 -0.753  2.640  2.958  2.523
 77 1377 0.71961  0.99244    2.432  0.281  0.013 -0.749  2.713  3.007  2.552
 77 1377 0.72474  0.99571    2.467  0.273  0.030 -0.773  2.740  3.042  2.571
 77 1377 0.72966  0.99885    2.484  0.270  0.033 -0.765  2.754  3.058  2.596
 77 1377 0.73791  0.00411    2.472  0.265  0.042 -0.758  2.736  3.043  2.592
 77 1377 0.74288  0.00728    2.439  0.267  0.023 -0.741  2.706  2.997  2.547
 77 1377 0.75050  0.01214    2.361  0.275  0.020 -0.738  2.636  2.931  2.488
 77 1377 0.75625  0.01580    2.328  0.269  0.015 -0.736  2.597  2.881  2.429
 77 1377 0.75979  0.01806    2.279  0.259  0.034 -0.739  2.537  2.829  2.382
 77 1377 0.76383  0.02064    2.240  0.273  0.015 -0.730  2.513  2.801  2.359
 77 1377 0.77216  0.02595    2.175  0.257  0.028 -0.738  2.432  2.717  2.265
 77 1377 0.77638  0.02864    2.126  0.260  0.031 -0.739  2.386  2.677  2.229
 77 1377 0.78907  0.03673    2.041  0.259  0.025 -0.730  2.300  2.584  2.139
 77 1377 0.79362  0.03964    2.007  0.262  0.024 -0.729  2.269  2.554  2.111
 77 1377 0.79783  0.04232    1.984  0.271  0.007 -0.711  2.254  2.532  2.099
 77 1377 0.80193  0.04494    1.973  0.271  0.005 -0.720  2.244  2.520  2.075
 77 1377 0.81110  0.05078    1.958  0.267  0.011 -0.732  2.225  2.504  2.050
 77 1377 0.82680  0.06080    1.953  0.274  0.006 -0.725  2.227  2.508  2.064
 77 1377 0.83181  0.06399    1.954  0.272  0.002 -0.726  2.226  2.499  2.047
 77 1377 0.83700  0.06730    1.949  0.268  0.015 -0.720  2.217  2.499  2.062
 77 1377 0.84210  0.07055    1.948  0.273  0.011 -0.729  2.220  2.504  2.059
 77 1377 0.84925  0.07511    1.960  0.263  0.018 -0.734  2.222  2.503  2.050
 77 1377 0.85428  0.07832    1.950  0.268  0.017 -0.737  2.217  2.502  2.050
 77 1377 0.85937  0.08157    1.961  0.257  0.030 -0.734  2.218  2.506  2.059
 77 1377 0.86963  0.08811    1.944  0.272  0.016 -0.720  2.216  2.504  2.071
 77 1377 0.87644  0.09245    1.953  0.266  0.021 -0.752  2.219  2.506  2.041
 77 1377 0.88811  0.09990    1.942  0.272  0.008 -0.720  2.215  2.495  2.056
 80 1380 0.69411  0.88940    1.954  0.260  0.031 -0.737  2.214  2.505  2.059
 80 1380 0.69935  0.89274    1.951  0.260  0.034 -0.750  2.211  2.505  2.049
 81 1381 0.55366  0.43757    1.958  0.267  0.019 -0.735  2.225  2.511  2.062
 81 1381 0.55795  0.44030    1.942  0.282 -0.001 -0.723  2.223  2.504  2.062
 81 1381 0.56223  0.44303    1.960  0.258  0.031 -0.737  2.217  2.506  2.058
 81 1381 0.59012  0.46082    2.024  0.254  0.041 -0.749  2.277  2.573  2.119
 81 1381 0.59435  0.46352    2.036  0.265  0.021 -0.728  2.300  2.586  2.144
 81 1381 0.59851  0.46617    2.075  0.256  0.025 -0.713  2.331  2.613  2.182
 81 1381 0.60256  0.46875    2.097  0.259  0.022 -0.723  2.356  2.636  2.194
 81 1381 0.60661  0.47134    2.111  0.276  0.001 -0.721  2.387  2.663  2.219
 81 1381 0.61113  0.47422    2.138  0.279  0.000 -0.722  2.416  2.695  2.252
 81 1381 0.61489  0.47662    2.182  0.259  0.028 -0.731  2.442  2.729  2.285
 81 1381 0.61888  0.47916    2.226  0.256  0.024 -0.718  2.482  2.761  2.322
 81 1381 0.62328  0.48197    2.244  0.278  0.003 -0.724  2.521  2.802  2.359
 81 1381 0.62710  0.48440    2.291  0.261  0.025 -0.722  2.552  2.838  2.403
 81 1381 0.63104  0.48692    2.312  0.277  0.003 -0.727  2.589  2.869  2.422
 81 1381 0.63503  0.48946    2.361  0.258  0.027 -0.726  2.619  2.904  2.462
 81 1381 0.64076  0.49311    2.393  0.269  0.015 -0.716  2.662  2.947  2.516
 81 1381 0.65035  0.49923    2.431  0.265  0.018 -0.721  2.696  2.979  2.541
 81 1381 0.65528  0.50237    2.427  0.273  0.003 -0.703  2.700  2.976  2.549
