title  Photometry data for ATLAS2_551047062 from search centered on HS Hya using the atlas calibration catalog
Median of Right Ascension  156.15356, rms   0.00242
Median of Declination      -19.09218, rms   0.00233
Median of magcal_magdep         8.19, rms      0.28
Median of magcal_local_rms      0.25, rms      0.15
Date	year	magcal_magdep	magcal_local_rms	limiting_mag_local	ra	dec	THETA_J2000	ELLIPTICITY	Plate	versionId	AFLAGS	BFLAGS	NUMBER	quality	timeAccuracy	AFLAGSBits	BFLAGSBits	qualitybits
2415898.504754	1902.405492	 8.29	 0.24	12.69	156.15416	-19.09322	 75.1	0.240	am01282	193	33554432	1349387264	899826	448	0.000700	25	10,17,18,19,21,22,28,30	6,7,8
2415901.518463	1902.413749	 8.26	 0.22	12.19	156.15369	-19.09255	 83.0	0.243	am01294	193	0	1349453824	834674	256	0.000700		11,16,17,18,19,21,22,28,30	8
2415911.585853	1902.441331	 8.16	 0.16	12.87	156.15403	-19.09201	-88.5	0.301	am01322	193	0	1349451776	464000	384	0.000700		16,17,18,19,21,22,28,30	7,8
2415915.535114	1902.452151	 8.11	 0.36	12.96	156.15553	-19.09189	 75.7	0.349	am01359	193	128	1479475200	275613	392	0.000700	7	16,17,18,19,21,27,28,30	3,7,8
2415918.531513	1902.460360	 8.34	 0.43	14.13	156.15390	-19.09216	-64.4	0.157	b30092	184	0	1349454848	120961	576	0.000700		10,11,16,17,18,19,21,22,28,30	6,9
2415934.497943	1902.504104	 8.30	 0.24	12.47	156.15386	-19.09251	-88.4	0.149	am01419	193	0	1349452800	756188	448	0.000700		10,16,17,18,19,21,22,28,30	6,7,8
2416079.822611	1902.902254	 8.18	 0.27	11.97	156.15389	-19.09243	 58.6	0.281	am01715	193	33554432	1349388288	1006723	256	0.000700	25	11,17,18,19,21,22,28,30	8
2416087.865890	1902.924290	 8.19	 0.13	12.60	156.15473	-19.09176	-75.0	0.042	am01734	193	0	1349451776	693159	384	0.000700		16,17,18,19,21,22,28,30	7,8
2416091.932427	1902.935431	 8.10	 0.13	11.82	156.15638	-19.09086	-89.9	0.179	ac03055	190	0	1349453824	100745	256	0.000700		11,16,17,18,19,21,22,28,30	8
2416092.866413	1902.937990	 7.69	 0.20	12.12	156.15334	-19.09181	-26.1	0.282	ac03064	190	0	1349453826	20266	256	0.000700		1,11,16,17,18,19,21,22,28,30	8
2416092.921128	1902.938140	 8.15	 0.17	10.46	156.15387	-19.09318	 85.0	0.158	ai00527	183	0	1349451776	330591	384	0.000700		16,17,18,19,21,22,28,30	7,8
2416093.824766	1902.940616	 8.20	 0.18	12.46	156.15563	-19.09244	 55.3	0.346	am01756	193	0	1349451776	587355	384	0.000700		16,17,18,19,21,22,28,30	7,8
2416112.864800	1902.992780	 8.67	 0.50	 9.76	156.14851	-19.09223	 60.6	0.406	ai00574	200	369098752	1349126147	108895	256	0.000700	25,26,28	0,1,11,17,19,21,22,28,30	8
2416116.804684	1903.003574	 8.38	 0.22	 9.69	156.15358	-19.09101	 83.4	0.271	ai00601	200	0	1349451776	155529	384	0.000700		16,17,18,19,21,22,28,30	7,8
2416116.869788	1903.003753	 8.15	 0.28	12.74	156.15535	-19.09145	 53.8	0.035	ac03142	190	0	1349453824	97045	256	0.000700		11,16,17,18,19,21,22,28,30	8
2416118.871540	1903.009237	 8.25	 0.22	12.75	156.15348	-19.09317	 56.8	0.265	am01788	193	33554432	1349386240	920577	384	0.000700	25	17,18,19,21,22,28,30	7,8
