hjd,camera,filter,mag,mag err,flux (mJy),flux err
2457023.72042,be,V,8.589,0.02,1599.185,29.425
2456987.13367,bc,V,8.518,0.02,1540.427,28.344
2458159.97105,bd,V,8.633,0.02,1543.486,28.4
2457795.86457,bg,V,8.652,0.02,1327.289,24.422
2457110.75876,bf,V,8.528,0.02,1464.08,26.939
2457040.75602,bf,V,8.567,0.02,1412.448,25.989
2456943.8769,be,V,8.684,0.02,1465.836,26.971
2458149.80113,bg,V,8.733,0.02,1231.905,22.667
2458126.78787,bg,V,8.718,0.02,1249.786,22.996
2457933.46508,bg,V,8.524,0.02,1493.722,27.484
2457847.73044,bg,V,8.714,0.02,1254.495,23.083
2457773.73726,bg,V,8.671,0.02,1304.451,24.002
2457204.4675,be,V,8.636,0.02,1531.06,28.172
2457110.75122,be,V,8.608,0.02,1572.13,28.927
2457821.80689,bg,V,8.703,0.02,1266.397,23.302
2457781.9881,bc,V,8.611,0.02,1414.1,26.019
2457760.04199,bd,V,8.578,0.02,1622.924,29.862
2457022.09634,bd,V,8.492,0.02,1757.089,32.33
2458150.80066,bg,V,8.785,0.02,1174.15,21.604
2457848.78499,bd,V,8.558,0.02,1653.019,30.416
2457844.81024,bc,V,8.63,0.02,1388.678,25.552
2457834.8461,bc,V,8.632,0.02,1387.019,25.521
2457803.91285,bc,V,8.594,0.02,1436.157,26.425
2457435.67816,bh,V,8.555,0.02,1337.454,24.609
2457338.8282,bg,V,8.332,0.02,1782.047,32.79
2457008.76982,be,V,8.577,0.02,1617.64,29.765
2457873.56842,bg,V,8.607,0.02,1383.837,25.463
2457761.79598,bg,V,8.463,0.02,1579.492,29.063
2457682.86684,bg,V,8.62,0.02,1367.746,25.167
2457449.7172,bh,V,8.533,0.02,1365.458,25.124
2457329.86083,bh,V,8.545,0.02,1349.602,24.833
2457159.62049,bf,V,8.596,0.02,1375.095,25.302
2457105.84716,bd,V,8.536,0.02,1687.135,31.043
2457038.02873,bd,V,8.564,0.02,1642.049,30.214
2456985.80267,be,V,8.594,0.02,1591.155,29.277
2458138.7825,bg,V,8.843,0.02,1113.217,20.483
2458082.8265,bg,V,8.799,0.02,1160.055,21.345
2457914.53809,bg,V,8.681,0.02,1292.211,23.777
2457475.69836,bg,V,8.438,0.02,1617.542,29.763
2457322.86629,bg,V,8.489,0.02,1542.565,28.383
2457156.61311,be,V,8.519,0.02,1705.305,31.378
2456973.8011,be,V,8.648,0.02,1514.183,27.861
2457769.75592,bh,V,8.596,0.02,1288.036,23.7
2457576.4798,bh,V,8.534,0.02,1364.168,25.101
2457407.80904,bg,V,8.359,0.02,1738.82,31.994
2457397.67056,bg,V,8.452,0.02,1596.778,29.381
2457156.58197,bf,V,8.525,0.02,1468.559,27.021
2456970.82418,bf,V,8.533,0.02,1457.73,26.822
2456656.96481,bd,V,8.519,0.02,1713.72,31.532
2457416.86361,bh,V,8.611,0.02,1269.797,23.364
2456965.8196,be,V,8.682,0.02,1467.983,27.011
2456964.84339,bf,V,8.817,0.02,1121.491,20.635
2456961.83799,be,V,8.608,0.02,1572.191,28.928
2458451.13947,bd,V,8.67,0.02,1489.912,27.414
2457867.68006,bg,V,8.604,0.02,1387.399,25.528
2457830.66656,bh,V,8.442,0.02,1483.67,27.3
2457774.71342,bg,V,8.607,0.02,1383.429,25.455
2457453.65238,bg,V,8.337,0.02,1774.478,32.65
2457384.05889,bd,V,8.676,0.02,1481.035,27.251
2457170.51643,be,V,8.518,0.02,1707.233,31.413
2457052.74032,bf,V,8.648,0.02,1310.333,24.11
2456967.83646,bf,V,8.599,0.02,1371.382,25.233
2456852.46207,bf,V,8.69,0.02,1261.556,23.213
2457923.51513,bh,V,8.501,0.02,1406.282,25.876
2457916.53295,bg,V,8.607,0.02,1384.497,25.475
2457548.56488,bh,V,8.524,0.02,1375.757,25.314
2457436.81835,bg,V,8.372,0.02,1718.3,31.617
2457433.64621,bg,V,8.312,0.02,1816.274,33.419
2457350.81545,bg,V,8.272,0.02,1884.417,34.673
2457067.80777,bf,V,8.598,0.02,1372.574,25.255
2456989.10076,bc,V,8.543,0.02,1505.516,27.701
2456974.79741,be,V,8.64,0.02,1525.696,28.073
2456959.83825,be,V,8.659,0.02,1499.566,27.592
